		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	LABELS	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012	Ln Total sales per worker in 2012
																			
45b.SECTOR#1b.countryc				0.000			0.000			0.000			0.000			0.000			0.000
				(0.000)			(0.000)			(0.000)			(0.000)			(0.000)			(0.000)
45b.SECTOR#2.countryc				-0.381			-0.423			-0.384			-0.436			-0.416			-0.365
				(0.309)			(0.321)			(0.317)			(0.306)			(0.307)			(0.311)
45b.SECTOR#3.countryc				0.199			0.163			0.270			0.229			0.146			0.237
				(0.420)			(0.412)			(0.394)			(0.412)			(0.408)			(0.409)
45b.SECTOR#4.countryc				0.319			0.279			0.323			0.288			0.334			0.320
				(0.328)			(0.330)			(0.336)			(0.324)			(0.322)			(0.325)
45b.SECTOR#5.countryc				-1.292***			-1.313***			-1.269***			-1.321***			-1.286***			-1.289***
				(0.311)			(0.309)			(0.313)			(0.305)			(0.305)			(0.310)
45b.SECTOR#6.countryc				-1.590***			-1.610***			-1.588***			-1.568***			-1.606***			-1.515***
				(0.454)			(0.498)			(0.474)			(0.483)			(0.475)			(0.491)
45b.SECTOR#7.countryc				-0.017			-0.013			0.005			-0.063			-0.069			-0.025
				(0.644)			(0.645)			(0.639)			(0.642)			(0.642)			(0.644)
45b.SECTOR#8.countryc				-0.151			-0.119			-0.063			-0.104			-0.145			-0.147
				(0.363)			(0.336)			(0.362)			(0.341)			(0.334)			(0.364)
